Sample,Designation
1,ATCC42720
9,L3D (LR24)
10,L4C (LR31)
11,L11G (LG48)
15,L4G (LR35)
12,L10B (LG35)
13,L3B (LR21)
14,L4E (LR33)
16,L7C (LG13)
6,U5C (UG29)
7,U3E (UG14)
8,U2E (UG11)
17,L1B (LR2)
2,U10A (UR3)
3,U3G (UG16)
4,U3B (UG13)
5,U10D (UR4C)
18,S4H 
19,S3B
20,S1E
21,S8A
22,Upper pool
23,Lower pool
24,Sputum pool
